data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2022-01-03 02:00:45.997728;3333;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1136;M. BENZ;O500 U                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;3332;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1172;M. BENZ;O500 U                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;1054;TRANSPORTES COLETIVOS TREVO LTDA;ITE6865;M. BENZ;OF 1722                                           ;2012-06-19;2011;DIESEL
2022-01-03 02:00:45.997728;1199;TRANSPORTES COLETIVOS TREVO LTDA;IPI5781;M. BENZ;OF 1722M                                          ;2008-11-29;2008;DIESEL
2022-01-03 02:00:45.997728;1065;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0916;M. BENZ;OF 1722M                                          ;2009-12-09;2009;DIESEL
2022-01-03 02:00:45.997728;6734;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQY3663;M. BENZ;O-500M                                            ;2010-07-19;2010;DIESEL
2022-01-03 02:00:45.997728;6641;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2056;M. BENZ;OF 1721                                           ;2018-10-29;2018;DIESEL
2022-01-03 02:00:45.997728;3086;SUDESTE TRANSPORTES COLETIVOS LTDA;IRA6566;M. BENZ;O-500M                                            ;2010-08-14;2010;DIESEL
2022-01-03 02:00:45.997728;3041;SUDESTE TRANSPORTES COLETIVOS LTDA;IOF7349;M. BENZ;O-500M 1725                                       ;2007-11-07;2007;DIESEL
2022-01-03 02:00:45.997728;3065;SUDESTE TRANSPORTES COLETIVOS LTDA;IQB7386;M. BENZ;O-500M                                            ;2009-09-02;2009;DIESEL
2022-01-03 02:00:45.997728;6441;NORTRAN TRANSPORTES COLETIVOS LTDA;IOF4533;M. BENZ;OF 1722M                                          ;2007-11-01;2007;DIESEL
2022-01-03 02:00:45.997728;6479;NORTRAN TRANSPORTES COLETIVOS LTDA;IOA0442;M. BENZ;OF 1722M                                          ;2007-08-15;2007;DIESEL
2022-01-03 02:00:45.997728;6562;NORTRAN TRANSPORTES COLETIVOS LTDA;IPK1768;M. BENZ;O-500M                                            ;2008-12-31;2008;DIESEL
2022-01-03 02:00:45.997728;670;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5825;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;828;COMPANHIA CARRIS PORTO ALEGRENSE;IWI6745;VOLVO                                             ;B340M                                             ;2015-02-14;2014;DIESEL
2022-01-03 02:00:45.997728;4465;VIACAO ALTO PETROPOLIS LTDA;INN1272;M. BENZ;O-500M 1725                                       ;2006-12-21;2006;DIESEL
2022-01-03 02:00:45.997728;4462;VIACAO ALTO PETROPOLIS LTDA;IOH4066;M. BENZ;O-500M                                            ;2007-11-29;2007;DIESEL
2022-01-03 02:00:45.997728;6488;NORTRAN TRANSPORTES COLETIVOS LTDA;IUP7044;M. BENZ;OF 1721                                           ;2013-08-15;2013;DIESEL
2022-01-03 02:00:45.997728;6448;NORTRAN TRANSPORTES COLETIVOS LTDA;IRL4451;M. BENZ;OF 1722M                                          ;2010-12-18;2010;DIESEL
2022-01-03 02:00:45.997728;2362;VIACAO BELEM NOVO LTDA;IZP9D71;M. BENZ;OF 1721                                           ;2019-10-15;2019;DIESEL
2022-01-03 02:00:45.997728;6134;AUTO VIACAO NAVEGANTES LTDA;IQL6861;M. BENZ;OF 1722M                                          ;2010-01-15;2009;DIESEL
2022-01-03 02:00:45.997728;6612;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1161;M. BENZ;OF 1721                                           ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;6729;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ8175;M. BENZ;O-500M                                            ;2011-06-18;2011;DIESEL
2022-01-03 02:00:45.997728;6677;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOW9620;M. BENZ;OF 1722M                                          ;2008-07-08;2008;DIESEL
